name,category,unit,defaultShelfLifeDays,storageCondition,perishability,costPerUnit,recommendedDishes
Rice,Vegetarian,kg,365,Dry,Low,50.0,"Biryani, Fried Rice"
Wheat Flour,Vegetarian,kg,180,Dry,Low,40.0,"Roti, Naan"
Onion,Vegetarian,kg,30,Cool,Medium,20.0,"Curry, Salad"
Tomato,Vegetarian,kg,14,Cool,Medium,25.0,"Sauce, Soup"
Potato,Vegetarian,kg,30,Cool,Medium,15.0,"Fry, Mash"
Carrot,Vegetarian,kg,30,Cool,Medium,18.0,"Stir Fry, Soup"
Cabbage,Vegetarian,kg,21,Cool,Medium,12.0,"Salad, Stir Fry"
Spinach,Vegetarian,kg,7,Fridge,High,10.0,"Palak Paneer, Soup"
Ginger,Vegetarian,kg,30,Cool,Low,80.0,"Tea, Curry"
Garlic,Vegetarian,kg,30,Cool,Low,60.0,"Curry, Marinade"
Chicken Breast,Non-Vegetarian,kg,3,Fridge,High,300.0,"Grill, Curry"
Beef Mince,Non-Vegetarian,kg,2,Fridge,High,400.0,"Kebab, Stew"
Fish Fillet,Non-Vegetarian,kg,2,Fridge,High,350.0,"Fry, Curry"
Prawns,Non-Vegetarian,kg,1,Fridge,High,500.0,"Curry, Grill"
Eggs,Non-Vegetarian,dozen,21,Fridge,Medium,60.0,"Omelette, Boil"
Milk,Dairy,liter,7,Fridge,Medium,50.0,"Tea, Dessert"
Butter,Dairy,kg,90,Fridge,Medium,400.0,"Toast, Sauce"
Cheese,Dairy,kg,60,Fridge,Medium,500.0,"Pizza, Pasta"
Yogurt,Dairy,kg,14,Fridge,Medium,40.0,"Raita, Marinade"
Cream,Dairy,liter,7,Fridge,High,100.0,"Sauce, Dessert"
Sugar,Vegetarian,kg,730,Dry,Low,30.0,"Dessert, Tea"
Salt,Vegetarian,kg,730,Dry,Low,10.0,All Dishes
Oil,Vegetarian,liter,365,Cool,Low,120.0,"Fry, Curry"
Ghee,Vegetarian,kg,180,Cool,Low,500.0,"Dal, Rice"
Spices Mix,Vegetarian,kg,365,Dry,Low,100.0,"Curry, Rice"
Cumin Seeds,Vegetarian,kg,365,Dry,Low,50.0,Spice Mix
